"01_01_01" "01_01_02" "01_01_03" "01_01_04" "01_01_06" "01_01_15" "01_02_01" "01_02_02" "01_02_03" "01_02_04" "01_02_05" "01_02_06" "01_02_13" "01_02_15" "01_02_16" "01_02_17" "01_02_18" "01_02_20" "01_03_02" "01_03_04" "01_03_12" "01_03_16" "01_03_18" "01_03_19" "01_03_20" "01_03_22" "01_03_23" "01_04_01" "01_04_02" "01_04_03" "01_04_04" "01_04_05" "01_04_12" "01_04_15" "01_04_17" "01_04_19" "01_04_20" "01_04_21" "01_04_25" "01_05_04" "01_05_11" "01_05_14" "01_05_16" "01_05_17" "01_05_22" "01_05_24" "02_04_03" "02_04_04" "02_04_08" "02_04_09" "02_04_11" "02_04_12" "02_04_14" "02_04_17" "02_04_18" "02_04_20" "02_04_21" "2004" "94_1" "94_4" "Acacia" "Apple404" "Apple517" "Ausubel" "B05_10" "BMM" "BPA1" "DavisNavel" "EsparatoFresa" "Fd1" "Fd2" "Fresa525" "FresaSD" "Gallo1" "Gallo2" "Geranium" "Grape" "KatieTomato" "KernA2" "KernB1" "KernB2" "KGB1" "KGB2" "MEAP6G" "Mex03" "Molly" "Navel" "NobleRot" "Peachy" "Pepper" "PepperSub" "PhiloMenlo" "Rasp" "Rose" "Supersteak" "Triple3" "Triple7" "UKRazz" "Num_ID" "Taxon" "Wi_Do" "Tax_Wido" "SNames" "Order" "PGeno"
"CL0J173.6.8" "0.565887815" "0.357976779" "0.42049537" "0.391570079" "0.359541992" "0.314976868" "0.494804157" "0.428793945" "0.269974528" "0.400635467" "0.425522656" "0.498641148" "0.746114024" "0.511770588" "0.330558054" "0.23562886" "0.186336013" "0.449944803" "0.332013435" "0.290526547" "0.35979876" "0.365788014" "0.406251531" "0.098185832" "0.142942572" "0.360402554" "0.469379114" "0.377751025" "0.143505575" "0.56384266" "0.478905639" "0.336742161" "0.183874325" "0.292680723" "0.598996424" "0.47337827" "0.360263499" "0.192267852" "0.203769362" "0.170209319" "0.306028918" "0.313362293" "0.505638922" "0.235013296" "0.343185467" "0.498179899" "0.442584576" "0.53252907" "0.407648274" "0.509892206" "0.422963483" "0.445947639" "0.342024855" "0.445122707" "0.575405693" "0.407105585" "0.224310848" "0.200901024" "0.253607668" "0.274833263" "0.278681511" "0.498687046" "0.436362066" "0.312025283" "0.519117451" "0.497227989" "0.558850077" "0.094090968" "0.111362752" "0.490008024" "0.549350272" "0.50899085" "0.363564249" "0.364762658" "0.149926838" "0.445639616" "0.245517828" "0.490738365" "0.398683683" "0.503323989" "0.302719899" "0.05596551" "0.258737986" "0.556666363" NA "0.456878388" "0.095147805" "0.060478712" NA "0.463495059" "0.446236307" "0.114769202" "0.658325958" "0.111242292" "0.269517665" "0.387181144" "0.180468169" "0.47525648" "61" "Glycine" "Dom" "Glycine_Dom" "Gly_D1" "Fabales" "CL0J173.6.8"
"LA1547" "0.37884361" "0.812406874" "0.534016108" "0.560767824" "0.669699747" "0.696306401" "0.828476462" "0.883041545" "0.220473311" "0.148558761" "0.844716356" "0.151695815" NA "0.592067752" "0.658600953" "0.318489794" "0.368097958" "0.872227199" "0.623914123" "0.875459789" "0.684834518" "0.804115963" "0.456828512" "0.40926569" "0.664225709" "0.419850932" "0.560952052" "0.682261834" "0.436533722" "0.632512171" "0.298442925" "0.358370907" "0.648136985" "0.257035222" "0.434615558" "0.423677294" "0.47282517" "0.764604277" "0.76207307" "0.537264205" "0.514160317" "0.686876874" "0.501746484" "0.761281988" "0.299319573" "0.514708843" "0.494072905" "1.014381557" "0.933233068" "0.461546856" "0.960402023" "0.9487702" "0.574657928" "0.432679371" "0.795263088" "0.460699462" "0.7998572" "0.674592416" "0.160986917" "0.706062246" "0.64704217" "0.735052937" "1.478054553" "0.925033705" "0.461826154" "0.455819342" "0.502825383" "0.948231769" "0.312016604" "0.560614001" "0.459706867" "0.548735981" "0.235840199" "0.410444071" "0.708056847" "0.446863573" "0.374593144" "1.250947817" "1.067816897" "0.514498581" "0.851145055" "0.513643661" "0.579946757" "0.658457879" "0.636732998" "0.779274334" "0.158088087" "0.160428717" "0.386016177" "0.769451233" "0.745470547" "0.967010498" "0.67418723" "0.290407738" "0.816217236" "0.78461289" NA "0.622151021" "1" "Solanum" "Wild" "Solanum_Wild" "Sol_W1" "Solanales" "LA1547"
"LA1589" "0.833870993" "0.549824824" "1.068101929" "0.280697272" "1.042021175" "0.724018124" "1.209495965" "0.647059654" "0.948794631" "1.126775154" "0.811019706" "0.362296268" NA "0.345774642" "0.742118133" "1.141100313" "0.423143946" "0.595663387" "0.720042348" "0.973010754" "1.285879814" "0.514485414" "0.801413571" "0.37411785" "0.467933044" "0.447637456" "0.959430595" "0.600679403" "0.579215291" "0.585968535" "0.477408115" "0.538248433" "0.310182749" "0.436688564" "0.664597361" "0.642481224" "0.475000647" "0.633185489" "0.5272805" "0.533243107" "0.822503664" "0.501724003" "0.571445475" "0.968855531" "0.997844224" "0.245385385" "0.712113954" "1.244047936" "1.181452773" "1.074140938" "0.830036707" "1.806239373" "0.265757527" "0.675334962" "0.889226256" "1.116700837" "0.918071278" "0.662828596" "0.602758809" "0.52127625" "0.800446563" "0.934719127" "0.838241082" "1.254355521" "1.158165134" "0.956986672" "0.741069012" "0.488044649" "0.234182143" "1.025573622" "0.579480424" "1.153442231" "0.558633269" "0.554670415" "0.973790861" "0.758026064" "1.028749461" "1.055652011" "1.162754214" "0.68484408" "1.415099582" "0.248731605" "1.494627309" "0.721564426" "0.713696154" "0.360306711" "0.070566675" "0.189964606" "0.488882636" "0.562122391" "0.974427201" "1.845312186" "0.717050493" "0.058876142" "0.780711333" "1.285789721" NA "1.264657805" "12" "Solanum" "Wild" "Solanum_Wild" "Sol_W2" "Solanales" "LA1589"
"LA1684" "0.27949721" "0.777512429" "0.323903869" "1.096795265" "0.93596481" "0.784985094" "0.585900744" "0.378174257" "0.937671695" "0.287262162" "1.013412726" "0.252629436" NA "0.622225896" "0.111980255" "0.372514777" "0.770323078" "0.751980081" "1.158235916" "0.401777089" "0.941208431" "0.721671056" "1.225374561" "0.566018638" "0.564634242" "0.430700598" "0.550903073" "1.085922734" "0.497278213" "0.403070981" "0.570169737" "0.406418831" "0.522648555" "0.413945493" "0.906130914" "0.531452534" "0.531054979" "0.554336155" "0.469209229" "1.040630541" "0.45625124" "1.431697803" "0.132792003" "0.935418423" "0.389567666" "0.069827336" "0.892085826" "0.867164086" "0.949652501" "1.012400921" "1.109117396" "1.316721544" "0.513238377" "0.638342598" "1.056558677" "0.951828169" "0.639847686" "0.655383333" "0.35354196" "0.731673721" "0.228479324" "0.940445178" "1.233041581" "1.071084823" "0.559638282" "1.076174453" "0.887285837" "0.310583177" "0.477281349" "1.03481424" "0.747786528" "0.579594767" "0.439263587" "0.733874931" "0.097512701" "0.660556428" "0.831859024" "1.32538636" "0.888466069" "0.781454672" "1.29263955" "0.300688927" "0.639157395" "0.105860903" "0.85800811" "0.826990972" "0.171433245" "0.445030563" "0.38889856" "0.676442231" "0.764104575" "1.25969846" "0.803215204" "0.077740912" "0.526017191" "1.147343219" NA "0.687658382" "9" "Solanum" "Wild" "Solanum_Wild" "Sol_W3" "Solanales" "LA1684"
"LA2093" "0.466008863" "0.961965514" "0.881037995" "1.109764689" "1.070286246" "0.815647686" "0.744560801" "0.921196332" "0.654970015" "0.714176357" "0.968806445" "0.681687227" NA "0.746503723" "0.62526381" "1.003780566" "0.667379267" "0.612477569" "0.749948237" "0.916186689" "1.18751068" "0.974433419" "0.94787171" "0.568549817" "0.386004015" "0.452316494" "0.894505439" "0.769469023" "0.51116264" "0.613570284" "0.570938718" "0.434676519" "0.246600958" "0.759928345" "0.538717816" "0.61396228" "0.756964603" "0.831909033" "0.5232378" "0.757376757" "0.551637634" "0.370254863" "0.358826339" "0.578679857" "0.490280016" "0.358422728" "0.603680278" "0.800274345" "0.874291002" "1.060265308" "0.973643461" "0.748472146" "0.822686467" "0.672697612" "1.512349112" "0.805258315" "0.573060574" "0.853654189" "0.236460434" "0.617957543" "0.715858904" "0.837341946" "1.101428996" "1.045139991" "0.625146552" "0.662619152" "1.10582317" "1.258201505" "0.325430726" "0.94456806" "0.766233058" "1.218325188" "0.816172403" "0.529996712" "0.848428257" "0.739212282" "0.752255252" "1.137448968" "1.216866805" "1.030116323" "0.921559742" "0.341365301" "1.003760999" "0.625653413" "0.802740345" "0.779741307" "0.182717674" "0.148030123" "0.69560473" "0.662278959" "0.856823538" "1.205946527" "0.89204965" "0.263539261" "0.837909197" "1.150791134" NA "1.140086616" "3" "Solanum" "Wild" "Solanum_Wild" "Sol_W4" "Solanales" "LA2093"
"LA2176" "0.715047631" "1.142184769" "0.342602627" "1.393035036" "1.3795854" "1.272445774" "1.03799084" "0.72540293" "0.913312211" "0.915973058" "1.0969494" "0.059196806" NA "0.494933375" "1.339024312" "0.466382278" "0.66838885" "0.945296916" "0.73874389" "0.858415395" "1.602204184" "1.188537103" "0.694118307" "0.543944222" "0.449392759" "0.439130717" "1.058284678" "1.101713979" "1.012494432" "0.7921243" "0.666007182" "0.689055118" "0.715506346" "1.225106555" "0.803356581" "0.751134583" "0.808691157" "1.036414214" "0.712137596" "1.091444771" "0.714663793" "0.983287966" "0.853815934" "0.98172753" "0.413819422" "0.717689908" "0.718758935" "0.970752248" "0.964049881" "0.877019752" "0.891594709" "1.292267923" "0.856038491" "0.919153638" "1.024286637" "0.75616173" "1.032824785" "1.047758081" "0.433214069" "1.251054658" "1.058880301" "0.830377821" "0.482136339" "0.921402637" "0.713698945" "1.039704119" "0.606972544" "1.306720861" "0.726405993" "1.324723949" "1.12762126" "1.327219194" "1.001313777" "0.553039495" "1.10903733" "1.066610988" "0.870549858" "1.312043109" "1.291669223" "1.428060293" "1.554194684" "0.265034579" "1.385598251" "0.68383974" "1.385104254" "0.629848014" "0.124329023" "0.36298419" "0.874935319" "1.208439595" "1.137575374" "2.047214813" "1.353652162" "0.466704737" "1.142821052" "1.195502124" NA "1.576305" "7" "Solanum" "Wild" "Solanum_Wild" "Sol_W5" "Solanales" "LA2176"
"LA2706" "0.571740547" "0.357361522" "1.036834818" "0.756845162" "0.913929051" "0.752452092" "1.336900168" "0.631652181" "1.285188943" "0.914621222" "1.310367527" "1.293805593" NA "0.815565129" "1.054680706" "1.566313819" "0.338169846" "1.342970774" "0.621443702" "1.048302435" "1.143078057" "1.31562235" "0.520770438" "0.276244401" "0.810760528" "0.610297265" "0.75296712" "0.647789771" "0.775386864" "0.589023687" "0.596600731" "1.021188532" "0.257390443" "0.50094229" "0.845596884" "0.360147703" "0.927630474" "0.745970419" "1.155533606" "1.270466656" "0.846214803" "0.849576633" "0.894306055" "0.774232456" "0.587212266" "0.632271931" "0.566887139" "1.065618733" "1.430576076" "1.633804515" "1.199148843" "2.026755468" "0.925698348" "1.449138707" "1.468734549" "1.561751968" "1.296643751" "1.42112355" "0.697949905" "1.07609932" "1.117171847" "1.274615575" "1.094819922" "1.738086271" "0.827438169" "1.025200302" "1.079709268" "1.528394811" "0.378525075" "1.282310344" "1.415157785" "1.347535923" "0.726399729" "0.468150083" "1.096759258" "0.950433003" "1.095913082" "1.953207346" "1.551253118" "1.307187615" "1.283279471" "0.28806621" "1.016832624" "1.606169945" "1.266140367" "0.826906572" "0.137020955" "0.186138454" "1.034393237" "0.718264208" "1.355632978" "2.483010309" "1.142689449" "0.627313262" "1.024991478" "1.488082072" NA "1.659866095" "11" "Solanum" "Dom" "Solanum_Dom" "Sol_D1" "Solanales" "LA2706"
"LA3008" "0.737774328" "0.769934543" "1.288726446" "1.451424288" "1.107317492" "0.418536035" "0.867364421" "0.604387815" "0.614200901" "0.386441376" "0.628152774" "0.326339737" NA "0.799847136" "1.023544444" "0.67149845" "0.402150913" "0.807729615" "0.445362547" "0.674596281" "0.803280448" "0.693891325" "1.05806235" "0.408739575" "0.823137655" "0.783719342" "1.002766077" "0.691885084" "0.24123119" "0.504230975" "0.672429119" "0.460402873" "1.045873258" "0.233698197" "0.447837268" "0.446979394" "0.678316931" "0.900124568" "1.130162067" "0.310912146" "0.486089771" "0.565323154" "0.701957473" "1.441253131" "1.061590026" "0.36603102" "0.564129391" "1.220165575" "1.689924984" "1.097660135" "1.076524504" "1.413395202" "0.674733012" "0.852483752" "1.145018851" "0.492476805" "0.662452842" "0.6385133" "0.520526416" "0.601412777" "0.956918456" "1.196592149" "0.865363517" "1.250205165" "0.532568686" "0.678683468" "0.64467712" "1.063400411" "0.222026078" "0.901269127" "1.561292133" "0.699954936" "0.826465854" "0.551682706" "0.546499861" "1.119227614" "0.599160313" "1.111964461" "1.032643627" "1.037994608" "0.793618492" "0.559145362" "0.376346288" "0.697814202" "0.32888218" "0.707090589" "0.358515349" "0.194281045" "0.188855388" "0.927504452" "0.486539793" "1.440155411" "0.943040223" "0.771390102" "0.743193293" "1.244784227" NA "1.398821608" "8" "Solanum" "Dom" "Solanum_Dom" "Sol_D2" "Solanales" "LA3008"
"LA3475" "0.846556734" "1.429832541" "1.460838096" "1.510423301" "1.174424637" "1.129685069" "1.587459216" "0.685881532" "0.867753502" "0.695304602" "1.02133535" "1.270685094" NA "0.681197703" "0.781906036" "0.952434279" "0.962516538" "1.122977929" "0.751838718" "1.207647769" "1.204032166" "0.772118908" "1.850286337" "0.624004867" "1.201065226" "0.442580307" "0.756791617" "1.28034293" "0.86818632" "1.191998348" "0.689354239" "0.662930163" "0.756666284" "0.230780681" "0.920936209" "0.993611852" "1.058955583" "0.932419594" "1.478153574" "0.359441546" "1.1078647" "1.459686051" "0.464221979" "1.005831111" "0.631268997" "0.751392588" "0.674376905" "1.546993005" "1.356417308" "0.840622195" "0.993535351" "1.713632312" "0.637468728" "0.781071694" "1.428092606" "1.190694937" "0.815733758" "1.253969481" "0.416672553" "1.408869005" "0.498345913" "0.948865034" "1.176024091" "1.332578254" "1.199205508" "1.082805953" "0.99739791" "0.268546633" "0.195947315" "0.813068274" "1.389839361" "0.891966851" "1.095827368" "0.630376548" "1.315508899" "1.417907851" "0.889066611" "1.269437567" "1.723823268" "1.401967657" "1.39149876" "0.547684365" "1.308496367" "0.794068656" "0.87319912" "0.985499843" "0.298978479" "0.386664563" "0.559904487" "0.696392155" "1.11738886" "1.451252793" "1.090597336" "0.677324849" "1.009146583" "1.326679728" NA "1.127208016" "4" "Solanum" "Dom" "Solanum_Dom" "Sol_D3" "Solanales" "LA3475"
"LA410" "0.599054815" "1.788233855" "0.770742664" "1.189039754" "1.310793773" "1.364265383" "1.046513962" "1.018314094" "1.035218957" "1.148633722" "0.976599041" "0.488118231" NA "0.630418457" "1.470636646" "0.933081276" "0.811511087" "0.911422988" "1.151115822" "1.538384473" "2.094693498" "1.497584472" "1.290334631" "0.820362715" "0.681253722" "0.493536733" "0.870095118" "1.194333863" "0.749938399" "0.965202766" "0.966578097" "1.420419714" "0.516827049" "1.184914022" "1.048869711" "0.998720944" "0.997947354" "0.556798056" "1.01312877" "1.784720848" "1.086130564" "0.816689854" "1.232769939" "1.092569597" "0.971106255" "0.858191347" "1.137904049" "1.362947177" "1.172188204" "1.191183439" "1.858084747" "1.748448887" "1.394889609" "1.932860584" "1.640649175" "1.121689222" "0.944424044" "0.776069259" "0.812594759" "1.106111314" "1.139225578" "1.283492534" "1.427811376" "1.761105144" "1.086989774" "1.073632132" "0.901266921" "1.176202798" "0.596909107" "1.042155256" "1.194625913" "1.738833657" "0.788861929" "0.922529423" "0.867738729" "1.133519858" "1.377932922" "1.123600544" "1.392793195" "1.430904177" "1.619384146" "0.810208127" "1.164459807" "1.131588082" "1.141052455" "0.714094209" "0.166712855" "0.873929595" "0.426777905" "1.425737761" "1.382373897" "1.501607919" "1.564953811" "1.090256628" "1.300817846" "1.216449304" NA "1.545188534" "2" "Solanum" "Dom" "Solanum_Dom" "Sol_D4" "Solanales" "LA410"
