Num_ID	Taxon	Taxon1	Wi_Do	Tax_Wido	SNames	Order	PGeno	Isolate	LsMeans
86	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_01_01	0.412280096
176	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_01_02	0.257307575
266	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_01_03	0.408900924
356	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_01_04	0.506837281
446	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_01_06	0.490918351
536	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_01_15	0.03746168
626	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_01	0.447765804
716	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_02	0.401749407
806	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_03	0.49266797
896	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_04	0.38414595
986	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_05	NA
1076	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_06	0.421560748
1166	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_13	0.413175343
1256	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_15	0.580365132
1346	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_16	0.235193713
1436	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_17	0.313945081
1526	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_18	0.399237132
1616	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_02_20	0.347859891
1706	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_02	0.361302917
1796	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_04	0.534032103
1886	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_12	0.442411747
1976	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_16	0.395696533
2066	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_18	0.437112805
2156	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_19	0.293327995
2246	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_20	0.310328795
2336	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_22	0.496023055
2426	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_03_23	0.47956699
2516	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_01	0.496705651
2606	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_02	0.412666007
2696	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_03	0.607592522
2786	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_04	0.622056489
2876	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_05	0.37250116
2966	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_12	0.376334481
3056	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_15	0.480560774
3146	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_17	0.470566056
3236	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_19	0.488857015
3326	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_20	0.218593819
3416	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_21	0.349599882
3506	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_04_25	0.461049312
3596	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_04	0.404905037
3686	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_11	0.374984431
3776	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_14	0.385127718
3866	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_16	0.336986905
3956	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_17	0.487941805
4046	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_22	0.42901825
4136	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	01_05_24	0.390697525
4226	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	02_04_03	0.668631173
4316	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	02_04_04	0.570292342
4406	Athaliana	R1	coi1	Athaliana	coi1	Brassica	coi1	02_04_08	0.748280154
