Num_ID	Exp	Rep	Flat	Domest	PlantGeno	IndPlant	IsolateID	Scale.LS	Taxon
1	96b	96b208a	208a-8b.jpg	Wl	LA1547	LA1547.5	Navel	0.230906335	Solanum
2	96a	96a208b	208b-3b.jpg	Wl	LA1547	LA1547.3	01.05.24	9.82E-05	Solanum
3	96b	96b208a	208a-1b.jpg	Wl	LA1547	LA1547.1	KernB1	0.631490334	Solanum
4	96a	96a208a	208a-6b.jpg	Wl	LA1547	LA1547.5	01.03.02	0.111552909	Solanum
5	96a	96a127	127-3b.jpg	Wl	LA1547	LA1547.2	01.05.16	0.030008538	Solanum
6	96a	96a208b	208b-2b.jpg	Wl	LA1547	LA1547.2	01.04.15	0	Solanum
7	96b	96b208a	208a-2b.jpg	Wl	LA1547	LA1547.2	Fresa525	0.685789781	Solanum
8	96a	96a208a	208a-3b.jpg	Wl	LA1547	LA1547.2	Gallo1	0.257605688	Solanum
9	96a	96a208b	208b-1b.jpg	Wl	LA1547	LA1547.1	01.02.04	0.104713818	Solanum
10	96a	96a208a	208a-3b.jpg	Wl	LA1547	LA1547.3	01.04.01	0.686638786	Solanum
11	96a	96a208a	208a-6b.jpg	Wl	LA1547	LA1547.4	KernB1	0.249435075	Solanum
12	96a	96a127	127-3b.jpg	Wl	LA1547	LA1547.3	02.04.03	0.163511092	Solanum
13	96b	96b127	127-6a.jpg	Wl	LA1547	LA1547.4	KernA2	1.186851532	Solanum
14	96b	96b208a	208a-5b.jpg	Wl	LA1547	LA1547.4	Apple404	0.333264667	Solanum
15	96a	96a127	127-7b.jpg	Wl	LA1547	LA1547.5	01.05.17	0.200053431	Solanum
16	96b	96b127	127-2a.jpg	Wl	LA1547	LA1547.2	BPA1	0.540006944	Solanum
17	96b	96b208b	208b-8a.jpg	Wl	LA1547	LA1547.6	Fresa525	0.733121737	Solanum
18	96b	96b208b	208b-7a.jpg	Wl	LA1547	LA1547.5	Apple517	3.001292632	Solanum
19	96a	96a208a	208a-4b.jpg	Wl	LA1547	LA1547.3	01.03.12	0.325642668	Solanum
20	96b	96b208b	208b-4a.jpg	Wl	LA1547	LA1547.3	01.01.01	0.584265031	Solanum
21	96a	96a208b	208b-4b.jpg	Wl	LA1547	LA1547.3	94.4	9.46E-05	Solanum
22	96a	96a208a	208a-6b.jpg	Wl	LA1547	LA1547.4	PhiloMenlo	0.916673901	Solanum
23	96b	96b208b	208b-7a.jpg	Wl	LA1547	LA1547.5	01.04.04	0.898777881	Solanum
24	96b	96b127	127-5a.jpg	Wl	LA1547	LA1547.4	01.02.18	0.380170392	Solanum
