Isolate	Origin	Host	Host2	P1	P2	P3	P4	Group	GROUP01	Admixed5
2004	California	Grape	Grape	0.5191	0.056	0.0627	0.3622	ABCD	AD	YES
01_01_01	California	Grape	Grape	1	0	0	0	A	A	NO
01_01_02	California	Grape	Grape	1	0	0	0	A	A	NO
01_01_03	California	Grape	Grape	1	0	0	0	A	A	NO
01_01_04	California	Grape	Grape	1	0	0	0	A	A	NO
01_01_06	California	Grape	Grape	1	0	0	0	A	A	NO
01_01_15	California	Grape	Grape	0.7667	0.019	0	0.2143	ABD	AD	YES
01_02_01	California	Grape	Grape	0	0	0	1	D	D	NO
01_02_02	California	Grape	Grape	0	0	0	1	D	D	NO
01_02_03	California	Grape	Grape	0	0	0	1	D	D	NO
01_02_04	California	Grape	Grape	0	0	0	1	D	D	NO
01_02_05	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
01_02_06	California	Grape	Grape	0	0	0	1	D	D	NO
01_02_13	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
01_02_15	California	Grape	Grape	0	1	0	0	B	B	NO
01_02_16	California	Grape	Grape	0	1	0	0	B	B	NO
01_02_17	California	Grape	Grape	0.305	0.551	0	0.144	ABD	ABD	YES
01_02_18	California	Grape	Grape	0.3058	0.5505	0	0.1437	ABD	ABD	YES
01_02_20	California	Grape	Grape	0	0	0	1	D	D	NO
01_03_02	California	Grape	Grape	0.946	0	0	0.054	AD	A	NO
01_03_04	California	Grape	Grape	0.166	0.1267	0.5767	0.1307	ABCD	ABCD	YES
01_03_12	California	Grape	Grape	0.9463	0	0	0.0537	AD	A	NO
01_03_16	California	Grape	Grape	0.9463	0	0	0.0537	AD	A	NO
01_03_18	California	Grape	Grape	0.6178	0.101	0.008	0.2732	ABCD	AD	YES
01_03_19	California	Grape	Grape	0.3846	0.5282	0.0117	0.0756	ABCD	AB	YES
01_03_20	California	Grape	Grape	0.035	0.923	0.0303	0.0117	ABCD	BD	YES
01_03_22	California	Grape	Grape	0.9463	0	0	0.0537	AD	A	NO
01_03_23	California	Grape	Grape	0.9463	0	0	0.0537	AD	A	NO
01_04_01	California	Grape	Grape	0.2127	0.0047	0.0047	0.7779	ABCD	AD	YES
01_04_02	California	Grape	Grape	0.0457	0.954	0	3.00E-04	ABD	B	NO
01_04_03	California	Grape	Grape	0	1	0	0	B	B	NO
01_04_04	California	Grape	Grape	0	1	0	0	B	B	NO
01_04_05	California	Grape	Grape	0	1	0	0	B	B	NO
01_04_12	California	Grape	Grape	0.4689	0.3465	0.0327	0.1519	ABCD	ABD	YES
01_04_15	California	Grape	Grape	0.7669	0.0193	0	0.2138	ABD	AD	YES
01_04_17	California	Grape	Grape	0.8371	0.0163	0	0.1466	ABD	AD	YES
01_04_19	California	Grape	Grape	0.837	0.0163	0	0.1467	ABD	AD	YES
01_04_20	California	Grape	Grape	0	1	0	0	B	B	NO
01_04_21	California	Grape	Grape	0	1	0	0	B	B	NO
01_04_25	California	Grape	Grape	0	1	0	0	B	B	NO
01_05_04	California	Grape	Grape	0.0103	0.98	0.0073	0.0023	ABCD	B	NO
01_05_11	California	Grape	Grape	0.985	0	0	0.015	AD	A	NO
01_05_14	California	Grape	Grape	0.0457	0.9543	0	0	AB	B	NO
01_05_16	California	Grape	Grape	0.3588	0.4662	0	0.1751	ABD	ABD	YES
01_05_17	California	Grape	Grape	0.3282	0.6068	0.0153	0.0496	ABCD	AB	YES
01_05_22	California	Grape	Grape	0.3583	0.466	0	0.1757	ABD	ABD	YES
01_05_24	California	Grape	Grape	0.985	0	0	0.015	AD	A	NO
02_04_03	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_04	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_08	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_09	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_11	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_12	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_14	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_17	California	Grape	Grape	0	7.00E-04	0.9973	0.002	BCD	C	NO
02_04_18	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_20	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
02_04_21	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
94_1	California	Lemon	Citrus	NA	NA	NA	NA	NA	NA	NA
94_4	California	Orange	Citrus	NA	NA	NA	NA	NA	NA	NA
Acacia	SouthAfrica	Acacia	Acacia	0.252	0.127	0.3184	0.3026	ABCD	ABCD	YES
Apple404	California	Apple	Apple	0	7.00E-04	0.999	3.00E-04	BCD	C	NO
Apple517	California	Apple	Apple	0	0	1	0	C	C	NO
Ausubel	Massachusetts	Brassica	Brassica	0	0	1	0	C	C	NO
B05_10	Netherlands	Grape	Grape	0.3433	0.128	0.1427	0.386	ABCD	ABCD	YES
BMM	Switzerland	Geranium	Geranium	0.2828	0.0416	0.2355	0.4401	ABCD	ACD	YES
BPA1	California	Grape	Grape	0.0543	0.0579	0.7802	0.1076	ABCD	CD	YES
DavisNavel	California	Orange	Citrus	0.4373	3.00E-04	0.043	0.5193	ABCD	AD	YES
EsparatoFresa	California	Strawberry	Strawberry	0	0	1	0	C	C	NO
Fd1	California	Raspberry	Berries	0.3426	0.1277	0.1437	0.386	ABCD	ABCD	YES
Fd2	California	Raspberry	Berries	0.2964	0.2514	0.1877	0.2645	ABCD	ABCD	YES
Fresa525	California	Strawberry	Strawberry	0.3886	0.0417	0.1323	0.4375	ABCD	ACD	YES
FresaSD	California	Strawberry	Strawberry	NA	NA	NA	NA	NA	NA	NA
Gallo1	California	Grape	Grape	0.0367	0.936	0.014	0.0133	ABCD	B	YES
Gallo2	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
Geranium	California	Geranium	Geranium	0.3054	0.0073	0.2257	0.4615	ABCD	ACD	YES
Grape	SouthAfrica	Grape	Grape	0	0	1	0	C	C	NO
KatieTomato	California	Tomato	Tomato	0.2743	0.0283	0.0127	0.6847	ABCD	AD	YES
KernA2	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
KernB1	California	Grape	Grape	0.3039	0.0073	0.228	0.4608	ABCD	ACD	YES
KernB2	California	Grape	Grape	0.3353	0.2813	0.023	0.3603	ABCD	ABD	YES
KGB1	California	Tomato	Tomato	0.2703	0.0167	0.017	0.696	ABCD	AD	YES
KGB2	California	Tomato	Tomato	NA	NA	NA	NA	NA	NA	NA
MEAP6G	Switzerland	Grape	Grape	0	0	1	0	C	C	NO
Mex03	Mexico	Blackberry	Berries	0.5053	0.0337	0.0497	0.4113	ABCD	AD	YES
Molly	California	Grape	Grape	NA	NA	NA	NA	NA	NA	NA
Navel	California	Orange	Citrus	0.4378	3.00E-04	0.0437	0.5182	ABCD	AD	YES
NobleRot	California	Grape	Grape	0.5539	0.0753	0	0.3708	ABD	AD	YES
Peachy	California	Peach	Peach	0	1	0	0	B	B	NO
Pepper	UnitedKingdom	Pepper	Pepper	NA	NA	NA	NA	NA	NA	NA
PepperSub	UnitedKingdom	Pepper	Pepper	NA	NA	NA	NA	NA	NA	NA
PhiloMenlo	California	Grape	Grape	0.2883	0.003	0.007	0.7017	ABCD	AD	YES
Rasp	California	Raspberry	Berries	0.6718	0.124	0.0197	0.1846	ABCD	ABD	YES
Rose	California	Rose	Rose	0.3547	0.042	0.0627	0.5407	ABCD	ACD	YES
Supersteak	California	Tomato	Tomato	NA	NA	NA	NA	NA	NA	NA
Triple3	California	Tomato	Tomato	0.2886	0.003	0.0067	0.7017	ABCD	AD	YES
Triple7	California	Tomato	Tomato	0.2873	0.0027	0.0083	0.7017	ABCD	AD	YES
UKRazz	UnitedKingdom	Raspberry	Berries	0.1776	0.2326	0.4528	0.1369	ABCD	ABCD	YES
