Variable	Species	Percent
A_Isolate	Brapa	57.7
B_Isolate*PlantGeno	Brapa	23
D_PlantGeno	Brapa	8.8
B_Isolate*Improvement	Brapa	2.7
E_Improvement	Brapa	0.9
F_IndPlant1	Brapa	2.7
G_Flat	Brapa	1.1
H_Experiment	Brapa	3
A_Isolate	Cendivia	71.6
B_Isolate*PlantGeno	Cendivia	14.8
D_PlantGeno	Cendivia	2.8
B_Isolate*Improvement	Cendivia	2.1
E_Improvement	Cendivia	0
F_IndPlant1	Cendivia	3.1
G_Flat	Cendivia	5.1
H_Experiment	Cendivia	0.5
A_Isolate	Cintybus	52.2
B_Isolate*PlantGeno	Cintybus	24
D_PlantGeno	Cintybus	7.9
B_Isolate*Improvement	Cintybus	2.1
E_Improvement	Cintybus	1.1
F_IndPlant1	Cintybus	6.4
G_Flat	Cintybus	5.8
H_Experiment	Cintybus	0.5
A_Isolate	Glycine	56.9
B_Isolate*PlantGeno	Glycine	29.5
D_PlantGeno	Glycine	3.9
B_Isolate*Improvement	Glycine	2.6
E_Improvement	Glycine	0.6
F_IndPlant1	Glycine	3.2
G_Flat	Glycine	3.3
H_Experiment	Glycine	0
A_Isolate	Helianthus	66.1
B_Isolate*PlantGeno	Helianthus	15.9
D_PlantGeno	Helianthus	4
B_Isolate*Improvement	Helianthus	4
E_Improvement	Helianthus	0.4
F_IndPlant1	Helianthus	7.3
G_Flat	Helianthus	1.2
H_Experiment	Helianthus	1
A_Isolate	Lactuca	40
B_Isolate*PlantGeno	Lactuca	35.7
D_PlantGeno	Lactuca	4.2
B_Isolate*Improvement	Lactuca	4.3
E_Improvement	Lactuca	4.8
F_IndPlant1	Lactuca	7.1
G_Flat	Lactuca	3.8
H_Experiment	Lactuca	0
A_Isolate	Solanum	43.2
B_Isolate*PlantGeno	Solanum	35
D_PlantGeno	Solanum	4
B_Isolate*Improvement	Solanum	3.6
E_Improvement	Solanum	1.1
F_IndPlant1	Solanum	3.7
G_Flat	Solanum	4.2
H_Experiment	Solanum	5.1
