Num_ID	Taxon	PlantGeno	Wi_Do	Tax_Wido	SNames	Order
1	Solanum	LA1547	Wild	Solanum_Wild	Sol_W1	Solanales
2	Solanum	LA410	Dom	Solanum_Dom	Sol_D4	Solanales
3	Solanum	LA2093	Wild	Solanum_Wild	Sol_W4	Solanales
4	Solanum	LA3475	Dom	Solanum_Dom	Sol_D3	Solanales
5	Solanum	LA4345	Dom	Solanum_Dom	Sol_D5	Solanales
6	Solanum	LA4355	Dom	Solanum_Dom	Sol_D6	Solanales
7	Solanum	LA2176	Wild	Solanum_Wild	Sol_W5	Solanales
8	Solanum	LA3008	Dom	Solanum_Dom	Sol_D2	Solanales
9	Solanum	LA1684	Wild	Solanum_Wild	Sol_W3	Solanales
10	Solanum	LA480	Wild	Solanum_Wild	Sol_W6	Solanales
11	Solanum	LA2706	Dom	Solanum_Dom	Sol_D1	Solanales
12	Solanum	LA1589	Wild	Solanum_Wild	Sol_W2	Solanales
13	Brapa	PI.633181	Wild	Brapa_Wild	Bra_W5	Brassica
14	Brapa	PI.662686	Dom	Brapa_Dom	Bra_D5	Brassica
15	Brapa	PI.508409	Dom	Brapa_Dom	Bra_D2	Brassica
16	Brapa	PI.347594	Dom	Brapa_Dom	Bra_D1	Brassica
17	Brapa	PI.633169	Dom	Brapa_Dom	Bra_D3	Brassica
18	Brapa	PI.597831	Wild	Brapa_Wild	Bra_W4	Brassica
19	Brapa	PI.662783	Dom	Brapa_Dom	Bra_D6	Brassica
20	Brapa	PI.234600	Wild	Brapa_Wild	Bra_W2	Brassica
21	Brapa	PI.649204	Dom	Brapa_Dom	Bra_D4	Brassica
22	Brapa	PI.1742.69	Wild	Brapa_Wild	Bra_W1	Brassica
23	Brapa	PI.4623.77	Wild	Brapa_Wild	Bra_W3	Brassica
24	Brapa	PI.R500	Wild	Brapa_Wild	Bra_W6	Brassica
25	Cendivia	PI.273578	Land	Cendivia_Land	Cen_L1	Asterales
26	Cendivia	PI.393808	Dom	Cendivia_Dom	Cen_D1	Asterales
27	Cendivia	PI.393811	Dom	Cendivia_Dom	Cen_D2	Asterales
28	Cendivia	PI.503585	Dom	Cendivia_Dom	Cen_D3	Asterales
29	Cendivia	PI.651905	Dom	Cendivia_Dom	Cen_D4	Asterales
30	Cendivia	PI.651906	Dom	Cendivia_Dom	Cen_D5	Asterales
31	Cendivia	PI.651915	Dom	Cendivia_Dom	Cen_D6	Asterales
32	Cendivia	PI.652010	Land	Cendivia_Land	Cen_L2	Asterales
33	Cendivia	PI.652011	Land	Cendivia_Land	Cen_L3	Asterales
34	Cendivia	PI.652013	Land	Cendivia_Land	Cen_L4	Asterales
35	Cendivia	PI.652014	Land	Cendivia_Land	Cen_L5	Asterales
36	Cendivia	PI.652049	Land	Cendivia_Land	Cen_L6	Asterales
37	Cintybus	PI.651886	Dom	Cintybus_Dom	Cin_D1	Asterales
38	Cintybus	PI.651945	Dom	Cintybus_Dom	Cin_D2	Asterales
39	Cintybus	PI.651971	Dom	Cintybus_Dom	Cin_D3	Asterales
40	Cintybus	PI.652038	Dom	Cintybus_Dom	Cin_D4	Asterales
41	Cintybus	PI.652041	Dom	Cintybus_Dom	Cin_D5	Asterales
42	Cintybus	PI.652045	Dom	Cintybus_Dom	Cin_D6	Asterales
43	Cintybus	PI.652006	Wild	Cintybus_Wild	Cin_W1	Asterales
44	Cintybus	PI.652008	Wild	Cintybus_Wild	Cin_W2	Asterales
45	Cintybus	PI.652019	Wild	Cintybus_Wild	Cin_W3	Asterales
46	Cintybus	PI.652021	Wild	Cintybus_Wild	Cin_W4	Asterales
47	Cintybus	PI.652026	Wild	Cintybus_Wild	Cin_W5	Asterales
48	Cintybus	PI.652028	Wild	Cintybus_Wild	Cin_W6	Asterales
49	Helianthus	PI.413153	Wild	Helianthus_Wild	Hel_W1	Asterales
50	Helianthus	PI.435584	Wild	Helianthus_Wild	Hel_W2	Asterales
51	Helianthus	PI.468627	Wild	Helianthus_Wild	Hel_W3	Asterales
52	Helianthus	PI.597899	Wild	Helianthus_Wild	Hel_W4	Asterales
53	Helianthus	PI.599764	Dom	Helianthus_Dom	Hel_D1	Asterales
54	Helianthus	PI.599782	Dom	Helianthus_Dom	Hel_D2	Asterales
55	Helianthus	PI.633747	Dom	Helianthus_Dom	Hel_D3	Asterales
56	Helianthus	PI.642777	Dom	Helianthus_Dom	Hel_D4	Asterales
57	Helianthus	PI.649853	Wild	Helianthus_Wild	Hel_W5	Asterales
58	Helianthus	PI.664207	Dom	Helianthus_Dom	Hel_D5	Asterales
59	Helianthus	PI.664809	Wild	Helianthus_Wild	Hel_W6	Asterales
60	Helianthus	PI.667183	Dom	Helianthus_Dom	Hel_D6	Asterales
61	Glycine	CL0J173.6.8	Dom	Glycine_Dom	Gly_D1	Fabales
62	Glycine	PI.507.681B	Wild	Glycine_Wild	Gly_W5	Fabales
63	Glycine	PI.518.751	Wild	Glycine_Wild	Gly_W6	Fabales
64	Glycine	PI.404.188A	Wild	Glycine_Wild	Gly_W2	Fabales
65	Glycine	LD02.4485	Dom	Glycine_Dom	Gly_D2	Fabales
66	Glycine	NE3001	Dom	Glycine_Dom	Gly_D6	Fabales
67	Glycine	LG04.4717	Dom	Glycine_Dom	Gly_D3	Fabales
68	Glycine	LG05.4832	Dom	Glycine_Dom	Gly_D4	Fabales
69	Glycine	LG98.1605	Dom	Glycine_Dom	Gly_D5	Fabales
70	Glycine	PI.398.881	Wild	Glycine_Wild	Gly_W1	Fabales
71	Glycine	PI.427.136	Wild	Glycine_Wild	Gly_W3	Fabales
72	Glycine	PI.437.169B	Wild	Glycine_Wild	Gly_W4	Fabales
73	Lactuca	LJ10320	Dom	Lactuca_Dom	Lac_D2	Asterales
74	Lactuca	LJ10335	Dom	Lactuca_Dom	Lac_D5	Asterales
75	Lactuca	LJ14005	Dom	Lactuca_Dom	Lac_D6	Asterales
76	Lactuca	LJ10409	Wild	Lactuca_Wild	Lac_W3	Asterales
77	Lactuca	LJ14038	Wild	Lactuca_Wild	Lac_W6	Asterales
78	Lactuca	LJ14033	Wild	Lactuca_Wild	Lac_W5	Asterales
79	Lactuca	LJ10318	Dom	Lactuca_Dom	Lac_D1	Asterales
80	Lactuca	LJ10332	Dom	Lactuca_Dom	Lac_D4	Asterales
81	Lactuca	LJ14025	Wild	Lactuca_Wild	Lac_W4	Asterales
82	Lactuca	LJ10400	Wild	Lactuca_Wild	Lac_W1	Asterales
83	Lactuca	LJ10326	Dom	Lactuca_Dom	Lac_D3	Asterales
84	Lactuca	LJ10405	Wild	Lactuca_Wild	Lac_W2	Asterales
